airport_code,city,country,latitude,longitude
CUN,Cancun,Mexico,21.0365,-86.8771
LIS,Lisbon,Portugal,38.7813,-9.1359
HNL,Honolulu,United States,21.3245,-157.9251
BCN,Barcelona,Spain,41.2971,2.0785
KEF,Reykjavik,Iceland,63.9850,-22.6056
NRT,Tokyo,Japan,35.7647,140.3864
CPT,Cape Town,South Africa,-33.9715,18.6021
YVR,Vancouver,Canada,49.1947,-123.1792
VLC,Valencia,Spain,39.4893,-0.4816
RAK,Marrakesh,Morocco,31.6069,-8.0363
AKL,Auckland,New Zealand,-37.0082,174.7850
SJO,San Jose,Costa Rica,9.9939,-84.2088
EDI,Edinburgh,United Kingdom,55.9500,-3.3725
ATH,Athens,Greece,37.9364,23.9445
ICN,Seoul,South Korea,37.4602,126.4407
MEL,Melbourne,Australia,-37.6690,144.8410
YUL,Montreal,Canada,45.4706,-73.7408
CTG,Cartagena,Colombia,10.4424,-75.5130
ATL,Atlanta,United States,33.6407,-84.4277
