user_id,budget,climate,interests,accessibility
synthetic-0000,2400,cold,nightlife|culture,true
synthetic-0001,1500,mild,culture|relaxation|history,true
synthetic-0002,2500,warm,adventure|food|relaxation|beach,true
synthetic-0003,2500,warm,culture|history,true
synthetic-0004,3000,warm,adventure|nightlife|relaxation,false
synthetic-0005,1600,mild,food|culture|beach|history,false
synthetic-0006,1500,cold,nature|history,false
synthetic-0007,3000,cold,nature|food|history,true
synthetic-0008,3000,warm,nightlife|food|history|relaxation,true
synthetic-0009,2900,mild,beach|nightlife,false
synthetic-0010,2300,mild,beach|history|adventure,true
synthetic-0011,3000,mild,nature|nightlife|culture|food,false
synthetic-0012,2600,mild,nightlife|beach,true
synthetic-0013,1700,mild,culture|history|adventure,true
synthetic-0014,2900,cold,beach|adventure|food|nightlife,false
synthetic-0015,2300,cold,nightlife|beach,false
synthetic-0016,2000,mild,beach|food|relaxation,true
synthetic-0017,3200,cold,food|nightlife|relaxation|nature,false
synthetic-0018,2400,cold,history|nightlife,false
synthetic-0019,1700,cold,food|adventure|nature,true
synthetic-0020,1600,cold,beach|food|culture|nature,true
synthetic-0021,2700,warm,relaxation|adventure,true
synthetic-0022,2000,warm,beach|adventure|history,false
synthetic-0023,3300,mild,history|nightlife|adventure|nature,true
synthetic-0024,1700,warm,nature|food,true
synthetic-0025,3000,warm,adventure|food|beach,false
synthetic-0026,2900,mild,history|food|culture|adventure,false
synthetic-0027,2800,cold,nature|nightlife,true
synthetic-0028,2900,mild,beach|relaxation|nightlife,false
synthetic-0029,3200,mild,relaxation|adventure|food|beach,true
synthetic-0030,1800,mild,adventure|food,true
synthetic-0031,1300,warm,culture|nature|history,true
synthetic-0032,3100,warm,nature|history|food|beach,true
synthetic-0033,2400,warm,adventure|history,false
synthetic-0034,2700,warm,nightlife|history|nature,true
synthetic-0035,2100,warm,beach|adventure|relaxation|nightlife,true
synthetic-0036,2200,cold,culture|nightlife,false
synthetic-0037,1700,cold,beach|relaxation|nightlife,true
synthetic-0038,3400,cold,adventure|history|nature|culture,true
synthetic-0039,1400,cold,history|nightlife,false
synthetic-0040,1900,cold,nightlife|culture|nature,false
synthetic-0041,2400,cold,adventure|history|culture|nightlife,true
synthetic-0042,2700,mild,adventure|history,true
synthetic-0043,2700,mild,food|relaxation|nature,true
synthetic-0044,2300,warm,nightlife|adventure|beach|nature,true
synthetic-0045,2700,warm,culture|beach,false
synthetic-0046,3100,warm,adventure|beach|history,false
synthetic-0047,3300,warm,nightlife|relaxation|beach|food,false
synthetic-0048,1700,mild,adventure|beach,false
synthetic-0049,2400,mild,culture|relaxation|nightlife,false
synthetic-0050,1600,warm,culture|nightlife|beach|relaxation,true
synthetic-0051,3200,warm,beach|relaxation,false
synthetic-0052,2900,warm,nightlife|culture|history,true
synthetic-0053,2800,cold,food|relaxation|nightlife|beach,true
synthetic-0054,1800,warm,relaxation|beach,true
synthetic-0055,2800,warm,history|culture|nature,false
synthetic-0056,1300,cold,history|beach|adventure|culture,false
synthetic-0057,3000,cold,beach|nightlife,false
synthetic-0058,2800,cold,nature|history|culture,true
synthetic-0059,1200,warm,beach|relaxation|culture|history,true
synthetic-0060,3100,cold,nature|adventure,true
synthetic-0061,2800,cold,food|nature|nightlife,false
synthetic-0062,1800,mild,culture|history|food|beach,true
synthetic-0063,2600,cold,culture|history,true
synthetic-0064,3100,cold,culture|adventure|nature,true
synthetic-0065,2700,cold,history|adventure|beach|nightlife,true
synthetic-0066,1800,mild,history|beach,true
synthetic-0067,2600,mild,relaxation|food|adventure,true
synthetic-0068,3300,mild,adventure|beach|food|culture,true
synthetic-0069,3200,cold,nature|nightlife,false
synthetic-0070,2600,warm,nature|beach|culture,true
synthetic-0071,1700,cold,relaxation|adventure|culture|nightlife,false
synthetic-0072,2500,warm,relaxation|nature,false
synthetic-0073,2300,warm,nightlife|food|beach,false
synthetic-0074,2400,mild,beach|adventure|nightlife|food,false
synthetic-0075,1900,warm,culture|food,true
synthetic-0076,1700,mild,history|nature|food,true
synthetic-0077,2400,warm,relaxation|beach|nightlife|nature,false
synthetic-0078,2000,warm,nightlife|food,true
synthetic-0079,1200,cold,relaxation|food|nature,true
synthetic-0080,1400,mild,history|food|beach|culture,true
synthetic-0081,2200,cold,beach|food,false
synthetic-0082,1300,cold,history|beach|culture,true
synthetic-0083,1700,warm,culture|beach|nature|food,false
synthetic-0084,1800,mild,history|beach,false
synthetic-0085,1200,mild,nature|beach|relaxation,true
synthetic-0086,2900,warm,food|beach|nightlife|history,false
synthetic-0087,1500,cold,adventure|beach,false
synthetic-0088,2800,mild,beach|history|adventure,true
synthetic-0089,2400,mild,adventure|nature|culture|nightlife,true
synthetic-0090,1400,cold,nature|food,false
